# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
308,91.9425,91.3130,96.7187,92.0833,91.9051,97.5735
309,91.9425,91.3160,96.7120,92.0861,91.9062,97.5642
310,91.9425,91.3190,96.7053,92.0888,91.9073,97.5549
311,91.9425,91.3220,96.6986,92.0912,91.9088,97.5459
312,91.9425,91.3250,96.6919,92.0934,91.9105,97.5370
313,91.9425,91.3280,96.6853,92.0956,91.9122,97.5281
314,91.9425,91.3310,96.6786,92.0978,91.9140,97.5192
315,91.9425,91.3339,96.6719,92.0999,91.9157,97.5102
316,91.9425,91.3369,96.6652,92.1021,91.9174,97.5013
317,91.9425,91.3399,96.6585,92.1043,91.9191,97.4924
318,91.9425,91.3429,96.6518,92.1065,91.9208,97.4835
319,91.9425,91.3459,96.6451,92.1087,91.9226,97.4746
320,91.9425,91.3489,96.6384,92.1109,91.9243,97.4656
321,91.9425,91.3519,96.6317,92.1131,91.9260,97.4567
322,91.9425,91.3549,96.6250,92.1153,91.9277,97.4478
323,91.9425,91.3578,96.6183,92.1175,91.9294,97.4389
324,91.9425,91.3608,96.6116,92.1197,91.9311,97.4300
325,91.9425,91.3638,96.6050,92.1219,91.9329,97.4211
326,91.9425,91.3668,96.5983,92.1227,91.9337,97.4127
327,91.9425,91.3698,96.5916,92.1234,91.9343,97.4045
328,91.9425,91.3728,96.5849,92.1240,91.9349,97.3963
329,91.9425,91.3758,96.5782,92.1246,91.9355,97.3881
330,91.9425,91.3788,96.5715,92.1252,91.9361,97.3799
331,91.9425,91.3817,96.5648,92.1258,91.9367,97.3717
332,91.9425,91.3847,96.5581,92.1264,91.9374,97.3635
333,91.9425,91.3877,96.5514,92.1271,91.9380,97.3553
334,91.9425,91.3907,96.5447,92.1277,91.9386,97.3471
335,91.9425,91.3937,96.5380,92.1283,91.9392,97.3389
336,91.9425,91.3967,96.5313,92.1289,91.9398,97.3307
337,91.9425,91.3997,96.5246,92.1295,91.9404,97.3225
338,91.9425,91.4027,96.5180,92.1301,91.9411,97.3143
339,91.9425,91.4056,96.5113,92.1308,91.9417,97.3061
340,91.9425,91.4086,96.5046,92.1314,91.9423,97.2979
341,91.9425,91.4116,96.4979,92.1332,91.9433,97.2898
342,91.9425,91.4146,96.4912,92.1353,91.9443,97.2818
343,91.9425,91.4176,96.4845,92.1375,91.9454,97.2738
344,91.9425,91.4206,96.4778,92.1397,91.9465,97.2657
345,91.9425,91.4236,96.4711,92.1418,91.9476,97.2577
346,91.9425,91.4266,96.4644,92.1440,91.9487,97.2497
347,91.9425,91.4295,96.4577,92.1462,91.9498,97.2416
348,91.9425,91.4325,96.4510,92.1483,91.9509,97.2336
349,91.9425,91.4355,96.4443,92.1505,91.9520,97.2256
350,91.9425,91.4385,96.4377,92.1527,91.9530,97.2175
351,91.9425,91.4415,96.4310,92.1548,91.9541,97.2095
352,91.9425,91.4445,96.4243,92.1570,91.9552,97.2015
353,91.9425,91.4475,96.4176,92.1592,91.9563,97.1934
354,91.9425,91.4505,96.4109,92.1613,91.9574,97.1854
355,91.9425,91.4534,96.4042,92.1635,91.9585,97.1774
356,91.9425,91.4564,96.3975,92.1653,91.9599,97.1702
357,91.9425,91.4594,96.3908,92.1668,91.9614,97.1636
358,91.9425,91.4624,96.3841,92.1683,91.9630,97.1569
359,91.9425,91.4654,96.3774,92.1699,91.9645,97.1503
360,91.9425,91.4684,96.3707,92.1714,91.9660,97.1436
361,91.9425,91.4714,96.3640,92.1730,91.9676,97.1370
362,91.9425,91.4744,96.3573,92.1745,91.9691,97.1303
363,91.9425,91.4773,96.3507,92.1761,91.9707,97.1237
364,91.9425,91.4803,96.3453,92.1776,91.9722,97.1170
365,91.9455,91.4819,96.3475,92.1792,91.9738,97.1104
366,91.9486,91.4834,96.3497,92.1807,91.9753,97.1037
367,91.9518,91.4849,96.3519,92.1822,91.9769,97.0971
368,91.9549,91.4864,96.3542,92.1838,91.9784,97.0904
369,91.9581,91.4879,96.3564,92.1853,91.9799,97.0837
370,91.9612,91.4894,96.3586,92.1869,91.9815,97.0771
371,91.9643,91.4910,96.3608,92.1885,91.9828,97.0702
372,91.9675,91.4925,96.3630,92.1902,91.9839,97.0631
373,91.9706,91.4940,96.3652,92.1919,91.9849,97.0559
374,91.9737,91.4955,96.3674,92.1936,91.9860,97.0488
375,91.9769,91.4970,96.3696,92.1953,91.9871,97.0417
376,91.9800,91.4985,96.3718,92.1970,91.9882,97.0346
377,91.9832,91.5000,96.3740,92.1987,91.9893,97.0275
378,91.9863,91.5015,96.3763,92.2004,91.9904,97.0204
379,91.9894,91.5030,96.3785,92.2021,91.9915,97.0133
380,91.9926,91.5045,96.3807,92.2039,91.9925,97.0061
381,91.9957,91.5061,96.3829,92.2056,91.9936,96.9990
382,91.9988,91.5076,96.3851,92.2073,91.9947,96.9919
383,92.0020,91.5091,96.3873,92.2090,91.9958,96.9848
384,92.0051,91.5106,96.3895,92.2107,91.9969,96.9777
385,92.0082,91.5121,96.3917,92.2124,91.9980,96.9706
386,92.0114,91.5136,96.3939,92.2141,91.9994,96.9637
387,92.0145,91.5151,96.3962,92.2158,92.0011,96.9572
388,92.0177,91.5166,96.3984,92.2175,92.0028,96.9507
